"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"less_gravity.8",517833,8,165,0.25265601794088,0.00674772880944365,0.286394661988098,1.17242884635925,"less_gravity",2490,139765.0692,NA,NA,9,0,0,0.0225,4,4,2,8,2,10,23
"world1-p100.7",510793,7,13,0.0486359460078074,0.0345111099288024,0.22119149565182,3.32773685455322,"world1-p100",210,129886.0299,510425,510237,25,0,0,0.0225,5,11,10,6,10,3,26
"less_gravity.9",524503,9,187,0.214573647323959,-0.0135031534465314,0.147057880091303,2.15044903755188,"less_gravity",2820,192788.0394,NA,NA,19,0,0,0.0225,8,8,4,10,4,6,20
"world1-p100.5",503495,5,18,0.0390424263436865,0.0157811280483538,0.117948066585456,3.59379005432129,"world1-p100",285,41256.0264,502449,502649,19,0,0,0.0225,3,12,9,10,9,4,23
"world1-p100.6",507667,6,16,0.0309058043289156,0.0162097628068206,0.111954618363019,2.18764400482178,"world1-p100",255,91021.0308,507458,507330,14,0,0,0.0225,4,9,8,6,8,5,22
"less_gravity.7",510421,7,57,0.0184404443684326,0.0181642451089244,0.109261669913055,1.35140299797058,"less_gravity",870,81036.0753,NA,NA,11,0,0,0.0225,5,4,3,10,3,1,2
"less_gravity.6",505306,6,169,0.0118895420583446,0.0170164300894549,0.0969716925056189,0.922160863876343,"less_gravity",2550,41129.0337,NA,NA,6,0,0,0.0225,3,2,2,10,2,0,4
"less_gravity.5",501719,5,92,0.00441070482699143,0.01793603299089,0.0940908697814415,1.17724514007568,"less_gravity",1395,12998.019,NA,NA,9,0,0,0.0225,4,5,3,6,3,10,27
"baseline_old_fitness_function.2",12565,2,96,0.0137056099113196,0.0128830942143947,0.0781210809832931,1.63984608650208,"baseline_old_fitness_function",1455,87854.0736,NA,NA,15,0,0,0.0225,6,6,5,10,5,10,37
"displacement_diveded_size2.9",48036,9,183,0.014981565760281,0.0121916071265363,0.0759396013929623,2.06211304664612,"displacement_diveded_size2",2760,335410.9851,NA,NA,18,0,0,0.0225,7,8,4,8,4,9,27
"baseline_old_fitness_function.7",36348,7,126,0.0117841603895578,0.012365853706212,0.073613428920618,1.66425895690918,"baseline_old_fitness_function",1905,253342.0125,NA,NA,15,0,0,0.0225,6,7,4,10,4,9,24
"displacement_diveded_size2.1",6556,1,190,0.0119444709053348,0.0116841207877285,0.0703650748439772,1.87478017807007,"displacement_diveded_size2",2865,45580.005,NA,NA,16,0,0,0.0225,6,10,6,10,6,2,19
"displacement_diveded_size2.4",23221,4,165,0.0120221774711076,0.0111141521930297,0.0675929384362563,1.41875600814819,"displacement_diveded_size2",2490,162255.0282,NA,NA,8,0,0,0.0225,2,4,3,8,3,8,21
"baseline_old_fitness_function.3",19658,3,176,0.0168198186076893,0.00978754152636318,0.0657575262395052,1.87652397155762,"baseline_old_fitness_function",2655,136879.0266,NA,NA,15,0,0,0.0225,5,8,2,10,2,7,9
"baseline_old_fitness_function.4",24090,4,176,0.0258546575286721,0.00764455417531058,0.0640774284052251,2.09908485412598,"baseline_old_fitness_function",2655,167791.0212,NA,NA,18,0,0,0.0225,4,7,6,10,6,5,24
"baseline_old_fitness_function.6",31518,6,94,0.0127062584955947,0.0098806600967535,0.0621095589793622,1.83692193031311,"baseline_old_fitness_function",1425,219998.0049,NA,NA,14,0,0,0.0225,5,7,4,10,4,0,5
"size3.5",503875,5,147,0.0101741833740648,0.00985991552035878,0.0594737609758588,1.58381199836731,"size3",2220,28890.9969,NA,NA,15,0,0,0.0225,6,7,4,10,4,8,23
"baseline_old_fitness_function.8",43826,8,172,0.0211879119756925,0.00765299247118513,0.0594528743316181,1.99298501014709,"baseline_old_fitness_function",2595,305664.9858,NA,NA,16,0,0,0.0225,8,7,3,10,3,9,23
"baseline_old_fitness_function.5",27363,5,128,0.0366261671926196,0.0044822287443515,0.0590373109143771,2.33728289604187,"baseline_old_fitness_function",1935,190721.0145,NA,NA,21,0,0,0.0225,6,12,8,10,8,8,35
"baseline_new_fitness_function.1",8580,1,157,0.0171210372053173,0.00828661999664159,0.0585541371885252,2.30321502685547,"baseline_new_fitness_function",2370,60525.0645,NA,NA,18,0,0,0.0225,6,10,6,10,6,7,34
"baseline_old_fitness_function.9",48363,9,185,0.0170011905251034,0.00778989316270322,0.0559506563386195,1.99663782119751,"baseline_old_fitness_function",2790,337353.0042,NA,NA,17,0,0,0.0225,7,9,5,10,5,1,10
"displacement_diveded_size2.3",16641,3,87,0.0124664168541732,0.00821934848882555,0.053563159298301,2.30183601379395,"displacement_diveded_size2",1320,116065.0272,NA,NA,21,0,0,0.0225,6,9,3,10,3,3,9
"baseline_old_fitness_function.1",8165,1,176,0.0196142672398967,0.00660776576557054,0.0526530960677494,1.52790784835815,"baseline_old_fitness_function",2655,57194.0721,NA,NA,12,0,0,0.0225,4,5,5,10,5,10,27
"size1.5.7",512167,7,122,0.0278550739725774,0.00471930151915849,0.0514515815683698,1.67220497131348,"size1.5",1845,103031.0217,NA,NA,19,0,0,0.0225,7,11,8,10,8,9,60
"size1.1.9",524024,9,149,0.0264967930159131,0.00427043931623426,0.0478489895970844,1.28232002258301,"size1.1",2250,184475.0448,NA,NA,12,0,0,0.0225,4,4,4,10,4,8,25
"baseline_new_fitness_function.5",27321,5,115,0.0112393976274364,0.00699805934587937,0.0462296943568333,1.85438919067383,"baseline_new_fitness_function",1740,190560.0033,NA,NA,18,0,0,0.0225,7,7,3,10,3,6,16
"size1.5.9",521156,9,95,0.0205088845912185,0.00506657065860798,0.0458417378842584,1.6197681427002,"size1.5",1440,178383.0207,NA,NA,17,0,0,0.0225,6,9,7,10,7,1,15
"displacement_diveded_size2.5",27101,5,171,0.0134461976303468,0.00622224122905632,0.0445574037756284,1.83165979385376,"displacement_diveded_size2",2580,189358.9836,NA,NA,12,0,0,0.0225,4,8,6,10,6,2,18
"baseline_new_fitness_function.6",32488,6,148,0.0157470717900861,0.00527992616150335,0.0421467025976028,2.0800769329071,"baseline_new_fitness_function",2235,226933.0296,NA,NA,19,0,0,0.0225,6,9,7,10,7,7,38
"size3.8",518716,8,156,0.0123445026448891,0.00591939567965604,0.0419414810431693,2.80313587188721,"size3",2355,142852.0365,NA,NA,24,0,0,0.0225,9,15,5,10,5,9,37
"baseline_new_fitness_function.4",21470,4,129,0.0254336772791028,0.00309669847196165,0.040917169638911,1.48081088066101,"baseline_new_fitness_function",1950,149890.0098,NA,NA,11,0,0,0.0225,3,5,4,6,4,8,26
"baseline_new_fitness_function.0",4794,0,199,0.00724072798648888,0.00655183910120162,0.039999923492497,2.07346200942993,"baseline_new_fitness_function",3000,34049.0679,NA,NA,16,0,0,0.0225,5,8,2,10,2,6,15
"size3.9",523235,9,132,0.00930996026053186,0.00570007816719127,0.0378103510964882,1.65917205810547,"size3",1995,177006.0426,NA,NA,14,0,0,0.0225,4,7,5,10,5,9,39
"baseline_old_fitness_function.0",631,0,61,0.00896117083591169,0.00560710891492778,0.0369967154105506,1.47094202041626,"baseline_old_fitness_function",930,4351.0068,NA,NA,12,0,0,0.0225,5,3,3,10,3,4,17
"size1.1.7",512012,7,94,0.0113542802795474,0.00511191380612233,0.036913849310159,1.61313915252686,"size1.1",1425,91943.0304,NA,NA,14,0,0,0.0225,6,7,4,10,4,9,25
"size1.5.5",501621,5,142,0.0171084479844744,0.00372068894793593,0.0357118927241541,1.82406806945801,"size1.5",2145,13533.0285,NA,NA,14,0,0,0.0225,4,9,7,10,7,6,29
"size3.7",510466,7,9,0.0170431302279588,0.00359885504459768,0.0350374054509471,1.67675590515137,"size3",150,79316.0361,NA,NA,17,0,0,0.0225,6,7,3,10,3,0,3
"baseline_new_fitness_function.2",13594,2,143,0.0095509944249501,0.00498752145567514,0.0344886017033258,2.18152499198914,"baseline_new_fitness_function",2160,95303.0217,NA,NA,18,0,0,0.0225,6,9,5,10,5,6,27
"size1.5.8",518460,8,182,0.0228900386741517,0.00227483360349838,0.0342642066916436,1.29455900192261,"size1.5",2745,156039.9957,NA,NA,13,0,0,0.0225,4,6,5,8,5,5,26
