"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world1n_bbox.16",1028103,16,93,0.0509502691375393,0.0194249567080463,0.148075052677771,2.57724094390869,"world1n_bbox",1410,814307.0199,1027849,1027141,9,0,0,0.0225,1,7,7,6,7,3,29,-0.045,-0.387010671662941,-0.0225,0.045,0.045,0.0225
"world1n_bbox.11",1005896,11,50,0.066737693531128,0.0156171203747767,0.144823295405012,3.88771414756775,"world1n_bbox",765,175214.9859,1005808,1005500,17,0,0,0.0225,3,8,8,6,8,0,1,-0.045,-0.377986980760694,-0.0225,0.271730099973725,0.0860000753005663,0.0225
"world1n_bbox.14",1020427,14,90,0.0271174886600259,0.0181425461659403,0.117830219489727,3.23247289657593,"world1n_bbox",1365,588211.0008,1020312,1019914,13,0,0,0.0225,4,7,7,6,7,1,17,-0.412596232165495,-0.110052942782825,-0.0225,0.0827,0.169682109873506,0.0225
"world1n_bbox.10",1000527,10,29,0.0373001483463446,0.0131179799864027,0.102890048278358,2.95365214347839,"world1n_bbox",450,15417.0366,1000414,1000334,9,0,0,0.0225,1,8,8,6,8,10,15,-0.045,-0.045,-0.0225,0.045,0.346600062444238,0.0225
"world1n_bbox.17",1030869,17,54,0.0239976134469982,0.0143822028795347,0.0959086278446716,3.62246584892273,"world1n_bbox",825,894368.0607,1030593,1030666,11,0,0,0.0225,2,10,10,6,10,3,25,-0.0827,-0.384300062444647,-0.0225,0.045,0.045,0.0225
"world1n_bbox.19",1040466,19,82,0.0191289088924291,0.00772248972634869,0.0577413575241725,4.69332098960876,"world1n_bbox",1245,1160823.0729,1040388,1040301,15,0,0,0.0225,6,9,9,6,9,2,28,-0.136587712334715,-0.121554265447557,-0.0225,0.304456149982159,0.165183432512737,0.0225
"world1n_bbox.18",1034459,18,32,0.0330964558929573,0.00461039144202488,0.0561484131030817,4.13301801681519,"world1n_bbox",495,995755.0776,1034195,1034326,18,0,0,0.0225,8,10,10,6,10,7,25,-0.20122753861741,-0.141655887514858,-0.0225,0.0969438634334672,0.2115084171269,0.0225
"world1n_bbox.13",1014292,13,71,0.0157211707485793,0.00415621385646625,0.0365022400309105,2.75967192649841,"world1n_bbox",1080,414787.0692,1013905,11,0,0,0.0225,3,6,6,6,6,10,44,-0.045,-0.1237,-0.0225,0.325712191888151,0.0860000543985186,0.0225,NA
"world1n_bbox.15",1022865,15,55,0.0125615509235564,0.00211250838070843,0.0231240928270986,4.31067991256714,"world1n_bbox",840,658135.0632,1022697,1022788,12,0,0,0.0225,3,10,10,6,10,4,35,-0.0827,-0.147035185288064,-0.0225,0.34660004511119,0.045,0.0225
"world1n_bbox.12",1008469,12,1,0.0153928765974501,0.00149688596455518,0.022877306420226,2.58500289916992,"world1n_bbox",30,245211.0564,1008420,1008407,11,0,0,0.0225,5,6,6,6,6,7,26,-0.0582,-0.202400054398519,-0.0225,0.0860000753005663,0.112905898471873,0.0225
