"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"world2_old_fitness.18",1037021,18,99,0.168797438331311,0.159510119219133,0.966348034426975,3.07168912887573,"world2_old_fitness",1500,1031894.9853,1034579,1035319,14,0,0,0.0225,6,7,7,6,7,7,26
"world2_old_fitness.15",1023480,15,69,0.0515869068255131,0.0403836752766567,0.253505283208797,4.88067698478699,"world2_old_fitness",1050,654213.0381,1023352,1022739,25,0,0,0.0225,7,10,10,6,10,6,40
"world2_old_fitness.12",1012230,12,99,0.0664871346753573,0.0311530326899827,0.222252298125271,3.86684918403625,"world2_old_fitness",1500,342355.0443,1011660,1010926,27,0,0,0.0225,6,7,7,6,7,0,15
"world2_old_fitness.11",1008043,11,99,0.0429428290150576,0.024758501892542,0.166735338477768,3.56346678733826,"world2_old_fitness",1500,224842.0212,1007667,1006111,19,0,0,0.0225,5,8,8,6,8,1,4
"world2_old_fitness.16",1028002,16,93,0.0402005613675833,0.0213866449407925,0.147133786071546,4.74196887016296,"world2_old_fitness",1410,779614.9875,1027344,1027757,27,0,0,0.0225,6,9,9,6,9,0,16
"world2_old_fitness.13",1014056,13,51,0.0757692681209641,0.0106966494278964,0.129252515260446,4.12547898292542,"world2_old_fitness",780,398281.0275,1013968,1013722,21,0,0,0.0225,2,10,10,6,10,8,48
"world2_old_fitness.17",1032970,17,99,0.0509155026984057,0.0123567292319829,0.11269914885832,3.53457593917847,"world2_old_fitness",1500,919190.0388,1032899,1032934,15,0,0,0.0225,5,9,9,6,9,0,41
"world2_old_fitness.14",1019615,14,79,0.0276089318155949,0.0168495715754445,0.111856789692817,3.13618206977844,"world2_old_fitness",1200,552202.0077,1019136,1019528,18,0,0,0.0225,5,8,8,6,8,3,23
"world2_old_fitness.10",1003750,10,99,0.0469695865317002,0.00926460250942901,0.0932925990788453,4.38919520378113,"world2_old_fitness",1500,104989.0599,1003461,1002694,17,0,0,0.0225,4,10,10,6,10,1,2
"world2_old_fitness.19",1040890,19,95,0.019801118507085,0.0136759685814587,0.0881809614143785,3.4902880191803,"world2_old_fitness",1440,1138889.043,1040025,1040356,20,0,0,0.0225,6,8,8,6,8,4,22
