"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world2n_diagonal.14",1018584,14,50,0.0377559904130167,0.0188518120690422,0.132015050758228,2.59202003479004,"world2n_diagonal",765,525311.0505,1018098,1018381,11,0,0,0.0225,3,5,5,6,5,10,31,-0.0860000753005663,-0.045,-0.0225,0.0860000753005663,0.441498458644027,0.0225
"world2n_diagonal.15",1021358,15,98,0.0398646824895017,0.017138636291665,0.125557863947827,4.24622011184692,"world2n_diagonal",1485,605100.0456,1021247,15,0,0,0.0225,3,8,8,6,8,6,31,-0.076392073748063,-0.145100972393167,-0.0225,0.0827,0.607192831155346,0.0225,NA
"world2n_diagonal.17",1033200,17,98,0.0350622464795919,0.0161952529312412,0.116038511135798,4.95263719558716,"world2n_diagonal",1485,926859.0024,1032822,1033159,22,0,0,0.0225,2,9,9,6,9,2,34,-0.306103702906071,-0.045,-0.0225,0.144742590503818,0.382224933962459,0.0225
"world2n_diagonal.11",1007112,11,75,0.0274737407924696,0.0150870948781567,0.102909215183253,4.86968994140625,"world2n_diagonal",1140,194116.0041,1006241,1006774,20,0,0,0.0225,7,9,9,6,9,6,17,-0.170150097375905,-0.31003099922927,-0.0225,0.1746,0.157316711736997,0.0225
"world2n_diagonal.19",1037854,19,95,0.0261137788110867,0.0152974679183663,0.102601118402918,3.86955714225769,"world2n_diagonal",1440,1053275.0376,1037672,1037795,18,0,0,0.0225,5,7,7,6,7,6,5,-0.217568404463891,-0.157974408622281,-0.0225,0.0860000753005663,0.300948334021679,0.0225
"world2n_diagonal.18",1037304,18,98,0.0229879690207286,0.0116117471097678,0.0810467045695677,5.51516890525818,"world2n_diagonal",1485,1039085.0568,1037070,1037055,17,0,0,0.0225,4,10,10,6,10,5,36,-0.100804318591915,-0.158887760644136,-0.0225,0.0827,0.643900222252351,0.0225
"world2n_diagonal.10",1001358,10,76,0.0160090077673572,0.0101255237301105,0.0666366264179097,3.82388114929199,"world2n_diagonal",1155,36386.9853,1000568,1000979,15,0,0,0.0225,5,7,7,6,7,1,28,-0.268752931828466,-0.135396721698529,-0.0225,0.12674758266512,0.128689149124945,0.0225
"world2n_diagonal.12",1011453,12,96,0.0419214967217236,0.00374856250478457,0.0606643092456465,4.65698480606079,"world2n_diagonal",1455,316040.0016,1009267,1010614,14,0,0,0.0225,3,9,9,6,9,1,12,-0.142204834812771,-0.274164226315981,-0.0225,0.363450226315981,0.102674381822041,0.0225
"world2n_diagonal.13",1016318,13,95,0.0271184786405149,0.00532639114993839,0.0537504343902069,4.51751518249512,"world2n_diagonal",1440,458983.0182,1016233,1016262,10,0,0,0.0225,3,9,9,6,9,2,71,-0.233500045111062,-0.0827000624444668,-0.0225,0.1581,0.045,0.0225
"world2n_diagonal.16",1028819,16,96,0.00962950108198385,0.00363035242280096,0.0277812631959886,2.3840069770813,"world2n_diagonal",1455,804389.0679,1027896,1028420,10,0,0,0.0225,3,4,4,6,4,3,23,-0.169816301084524,-0.1237,-0.0225,0.045,0.13763693520562,0.0225
