"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"world2nn_divided_size.13",1016163,13,97,0.14096651756619,0.140719312236937,0.844563078750874,1.73393583297729,"world2nn_divided_size",1470,453162.9888,1015882,1015350,7,0,0,0.0225,3,3,3,6,3,0,15
"world2nn_divided_size.10",1003606,10,91,0.0297531053756121,0.0187302161153422,0.123404185952323,3.18650388717651,"world2nn_divided_size",1380,103199.0055,1003413,1002927,14,0,0,0.0225,3,6,6,6,6,0,39
"world2nn_divided_size.19",1039923,19,76,0.0283877473860177,0.016095215148341,0.108863823127723,3.70629215240479,"world2nn_divided_size",1155,1127980.059,1039475,1038771,13,0,0,0.0225,5,6,6,6,6,0,2
"world2nn_divided_size.12",1011660,12,90,0.0233402006751058,0.0156827338619103,0.101753869984657,5.19181799888611,"world2nn_divided_size",1365,329480.0784,1010432,1010940,13,0,0,0.0225,3,10,10,6,10,4,23
"world2nn_divided_size.11",1005824,11,83,0.0254699431489012,0.00704925159238558,0.0607162011108292,13.0291500091553,"world2nn_divided_size",1260,166117.0413,1005225,1005511,10,0,0,0.0225,2,9,9,6,9,0,2
"world2nn_divided_size.16",1028201,16,96,0.0171611963821746,0.0071937260533372,0.0531298266488606,3.34752607345581,"world2nn_divided_size",1455,793920.0594,1028145,1028109,12,0,0,0.0225,3,6,6,6,6,10,22
"world2nn_divided_size.17",1031537,17,97,0.0113939352066845,0.00606203572468535,0.0417041138301113,2.39927887916565,"world2nn_divided_size",1470,887527.0278,1031225,1031054,9,0,0,0.0225,3,3,3,6,3,0,5
"world2nn_divided_size.14",1020206,14,95,0.00959704802628272,0.00511137948651452,0.0351539454588553,4.72292995452881,"world2nn_divided_size",1440,564525.0408,1018872,1018763,14,0,0,0.0225,4,7,7,6,7,5,39
"world2nn_divided_size.15",1023258,15,81,0.00829326238039715,0.00499465589196705,0.0332665418402324,2.30872893333435,"world2nn_divided_size",1230,654716.0778,1022500,1022575,6,0,0,0.0225,2,3,3,6,3,5,16
"world2nn_divided_size.18",1035047,18,61,0.0105752122552045,0.00110427523394673,0.0160965884249381,2.89382004737854,"world2nn_divided_size",930,986046.9897,1034736,1034367,10,0,0,0.0225,4,5,5,6,5,4,22
