"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn"
"world4n_divided_size.19",1040557,19,94,0.0461034747669404,0.0146231681625777,0.119219315579829,2.84605097770691,"world4n_divided_size",1425,1175191.053,1038577,1039262,9,0,0,0.0225,1,7,7,6,7,10,24
"world4n_divided_size.17",1032262,17,91,0.049385543281889,0.0119686475757998,0.109228781160888,4.27568101882935,"world4n_divided_size",1380,919717.0104,1032176,1031857,16,0,0,0.0225,4,10,10,6,10,10,31
"world4n_divided_size.10",1001656,10,48,0.022418082491345,0.0123117686614318,0.083976925798504,3.32715797424316,"world4n_divided_size",735,46952.0517,1001496,1001604,12,0,0,0.0225,3,8,8,6,8,7,16
"world4n_divided_size.15",1024824,15,99,0.0290305299105054,0.0102960785855193,0.0805109228381016,3.49622702598572,"world4n_divided_size",1500,703854.0558,1024144,1022198,17,0,0,0.0225,6,8,8,6,8,3,45
"world4n_divided_size.13",1013967,13,41,0.0154031428120806,0.0126115765687398,0.0784610256557797,2.71424102783203,"world4n_divided_size",630,395757.0405,1013650,1013732,13,0,0,0.0225,6,7,7,6,7,6,22
"world4n_divided_size.18",1036938,18,96,0.00866562067984133,0.00619171937959575,0.0396242175778201,2.37654399871826,"world4n_divided_size",1455,1062527.9838,1035259,1036708,9,0,0,0.0225,2,5,5,6,5,3,16
"world4n_divided_size.14",1020354,14,94,0.00759122099304601,0.0051389255401829,0.0332858486939605,2.83244919776917,"world4n_divided_size",1425,575685.036,1019268,1020071,13,0,0,0.0225,2,4,4,6,4,0,3
"world4n_divided_size.12",1012179,12,94,0.00949141051974918,0.00474010316980384,0.0331919263687684,2.45176792144775,"world4n_divided_size",1425,346140.9927,1011739,1011805,10,0,0,0.0225,4,6,6,6,6,8,46
"world4n_divided_size.16",1028108,16,83,0.00618228600355336,0.00500415391694908,0.0312030555882987,4.0826530456543,"world4n_divided_size",1260,797324.9955,1027395,1028044,11,0,0,0.0225,4,9,9,6,9,6,28
"world4n_divided_size.11",1004469,11,10,0.0242197208539167,0.00121263250454636,0.0302828833766485,4.48533391952515,"world4n_divided_size",165,128096.0499,1004326,1004374,21,0,0,0.0225,7,9,9,6,9,0,4
