"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world2_old_fitness.18",1037021,18,99,0.168797438331311,0.159510119219133,0.966348034426975,3.07168912887573,"world2_old_fitness",1500,1031894.9853,1034579,1035319,14,0,0,0.0225,6,7,7,6,7,7,26,NA,NA,NA,NA,NA,NA
"world0_old_fitness.19",1041224,19,82,0.0802844787675568,0.0450252589662063,0.305410773598589,2.70182514190674,"world0_old_fitness",1245,1216792.0131,1040209,1040198,27,0,0,0.0225,8,8,8,6,8,2,14,NA,NA,NA,NA,NA,NA
"world2_old_fitness.15",1023480,15,69,0.0515869068255131,0.0403836752766567,0.253505283208797,4.88067698478699,"world2_old_fitness",1050,654213.0381,1023352,1022739,25,0,0,0.0225,7,10,10,6,10,6,40,NA,NA,NA,NA,NA,NA
"world0_old_fitness.18",1037786,18,99,0.0547681933404659,0.038143303373735,0.245484710209141,2.84132695198059,"world0_old_fitness",1500,1115549.0121,1037075,1037702,23,0,0,0.0225,7,7,7,6,7,5,21,NA,NA,NA,NA,NA,NA
"world0_bbox.11",1007749,11,92,0.0409802123289142,0.0387908848550456,0.234934636604142,1.40454006195068,"world0_bbox",1395,234115.0506,1006217,1007226,11,0,0,0.0225,3,3,3,6,3,1,30,-0.0860000753005663,-0.327858017395894,-0.0225,0.0463644591277523,0.311127299664907,0.0225
"world2_old_fitness.12",1012230,12,99,0.0664871346753573,0.0311530326899827,0.222252298125271,3.86684918403625,"world2_old_fitness",1500,342355.0443,1011660,1010926,27,0,0,0.0225,6,7,7,6,7,0,15,NA,NA,NA,NA,NA,NA
"world0_old_fitness.13",1017006,13,94,0.0441333716016332,0.0324508666863447,0.206387705033357,1.85388493537903,"world0_old_fitness",1425,479178.0579,1015525,1015335,22,0,0,0.0225,3,6,6,6,6,0,16,NA,NA,NA,NA,NA,NA
"world0_divided_size.18",1036564,18,87,0.0402368100082926,0.0305538981308954,0.19300630066277,2.60726094245911,"world0_divided_size",1320,1115942.9799,1036056,1036514,16,0,0,0.0225,5,7,7,6,7,0,18,NA,NA,NA,NA,NA,NA
"world0_old_fitness.15",1023733,15,62,0.0375826613210328,0.026625362475512,0.170709473698593,1.68173885345459,"world0_old_fitness",945,687370.0227,1023147,1022703,17,0,0,0.0225,3,6,6,6,6,6,15,NA,NA,NA,NA,NA,NA
"world0_old_fitness.16",1028722,16,78,0.062927406336131,0.021514807653063,0.170501444601446,2.44951605796814,"world0_old_fitness",1185,844944.0645,1028362,1027707,21,0,0,0.0225,5,7,7,6,7,4,21,NA,NA,NA,NA,NA,NA
"world2_old_fitness.11",1008043,11,99,0.0429428290150576,0.024758501892542,0.166735338477768,3.56346678733826,"world2_old_fitness",1500,224842.0212,1007667,1006111,19,0,0,0.0225,5,8,8,6,8,1,4,NA,NA,NA,NA,NA,NA
"world0_bbox.13",1015311,13,75,0.0363155534897084,0.0260706451419738,0.166668779199578,3.68733692169189,"world0_bbox",1140,465461.0064,1015144,1014974,22,0,0,0.0225,6,10,10,6,10,5,34,-0.2024,-0.35377545961393,-0.0225,0.0860000543985186,0.355039496112992,0.0225
"world0_old_fitness.17",1033342,17,92,0.0390956012583252,0.0254887209844214,0.166539206180432,3.48409795761108,"world0_old_fitness",1395,979779.0039,1030465,1032932,19,0,0,0.0225,4,10,10,6,10,4,15,NA,NA,NA,NA,NA,NA
